Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\9240_Dew_Point_Temperature_DATA.csv
Location,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-32.00720000
Long,116.13690000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9240
Site Description,BICKLEY                                 
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),44.9466
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Dew Point Temperature (^{\circ}C),Decimal
QC,String
