Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9225_Station_level_pressure_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.91920000
Long,115.87280000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9225
Site Description,PERTH METRO                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),31.5618
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Station level pressure (hPa),Decimal
QC,String
