Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\9281_Cloud_height_of_second_group_DATA.csv
Location,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\
Station Status,Inactive
Lat,-31.81120000
Long,116.02270000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9281
Site Description,MILLENDON (SWAN VALLEY)                 
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min), NaN
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud height of second group (ft),Decimal
QC,String
