Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9281_Precipitation_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.81120000
Long,116.02270000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9281
Site Description,MILLENDON (SWAN VALLEY)                 
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),30.1168
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Precipitation (m),Decimal
QC,String
