Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9178_Air_Temperature_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.46280000
Long,115.86420000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9178
Site Description,GINGIN AERO                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),46.0751
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Air Temperature (^{\circ}C),Decimal
QC,String
