Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9178_Horizontal_visibility_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Inactive
Lat,-31.46280000
Long,115.86420000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9178
Site Description,GINGIN AERO                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),84000.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Horizontal visibility (km),Decimal
QC,String
