Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9254_Max_Wind_Speed_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-32.17580000
Long,115.68080000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9254
Site Description,ARMAMENT JETTY                          
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),28.5642
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Wind Speed (m/s),Decimal
QC,String
