Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9021_Cloud_height_of_fourth_group_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.92750000
Long,115.97640000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9021
Site Description,PERTH AIRPORT                           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),20317.0929
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud height of fourth group (ft),Decimal
QC,String
