Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9281_Station_level_pressure_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.81120000
Long,116.02270000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9281
Site Description,MILLENDON (SWAN VALLEY)                 
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),29.8445
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Station level pressure (hPa),Decimal
QC,String
