Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9021_Ceilometer_sky_clear_flag_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.92750000
Long,115.97640000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9021
Site Description,PERTH AIRPORT                           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),29.9449
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer sky clear flag (),Decimal
QC,String
