Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9193_Cloud_amount_of_second_group_in_eighths_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Inactive
Lat,-32.00690000
Long,115.50220000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9193
Site Description,ROTTNEST ISLAND                         
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),40.0134
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud amount of second group in eighths (oktas),Decimal
QC,String
