Sheet 1                           	Sheet 2                         	Sheet 3                         	Sheet 4                           	Sheet 5                           	Sheet 6                           	Sheet 7                         	Sheet 8                           	Sheet 9                           	Sheet 10                          	Sheet 11                          	Sheet 12                          	Sheet 13                          	Sheet 14                          	Sheet 15                          	Sheet 16                          	Sheet 17                          	Sheet 18                          	Sheet 19                          	Sheet 20                          	Sheet 21                          	Sheet 22                          	Sheet 23                          	Sheet 24                          	If all Sheets Match
Dinophysis norvegica              	Dinophysis norvegica            	Dinophysis norvegica            	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica            	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	Dinophysis norvegica              	                  1
Ensiculifera                      	Ensiculifera                    	Ensiculifera                    	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                    	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	Ensiculifera                      	                  1
GKC                               	GKC                             	GKC                             	GKC                               	GKC                               	GKC                               	GKC                             	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	GKC                               	                  1
Gonyaulax                         	Gonyaulax                       	Gonyaulax                       	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                       	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	Gonyaulax                         	                  1
Gymnodinium (small)               	Gymnodinium (small)             	Gymnodinium (small)             	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)             	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	Gymnodinium (small)               	                  1
Gymnodinium (Medium)              	Gymnodinium (Medium)            	Gymnodinium (Medium)            	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)            	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (Medium)              	Gymnodinium (M)                   	Gymnodinium (M)                   	Gymnodinium (M)                   	                  0
Gyrodinium(small)                 	Gyrodinium(small)               	Gyrodinium(small)               	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)               	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	Gyrodinium(small)                 	                  1
Gyrodinium(M)                     	Gyrodinium(med)                 	Gyrodinium(med)                 	Gyrodinium(large)                 	Gyrodinium(large)                 	Gyrodinium(M)                     	Gyrodinium(M)                   	Gyrodinium(M)                     	Gyrodinium(M)                     	Gyrodinium(M)                     	Gyrodinium(large)                 	Gyrodinium(M)                     	Gyrodinium(M)                     	Gyrodinium(M)                     	Gyrodinium(large)                 	Gyrodinium(large)                 	Gyrodinium(large)                 	Gyrodinium(large)                 	Gyrodinium(large)                 	Gyrodinium(M)                     	Gyrodinium(large)                 	Gyrodinium(M)                     	Gyrodinium(M)                     	Gyrodinium(M)                     	                  0
Heterocapsa (<10um)               	Heterocapsa (<10um)             	Heterocapsa (<10um)             	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)             	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	Heterocapsa (<10um)               	                  1
Heterocapsa (>10um)               	Heterocapsa (>10um)             	Heterocapsa (>10um)             	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)             	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	Heterocapsa (>10um)               	                  1
Karlodinium                       	Karlodinium                     	Karlodinium                     	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                     	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	Gyrodinium(small)                 	Karlodinium                       	Karlodinium                       	Karlodinium                       	Karlodinium                       	                  0
Katodinium (small)                	Katodinium (small)              	Katodinium (small)              	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)              	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	Katodinium (small)                	                  1
Katodinium (medium)               	Katodinium (medium)             	Katodinium (medium)             	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)             	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	Katodinium (medium)               	                  1
Oxyrrhis marina                   	Oxyrrhis marina                 	Oxyrrhis marina                 	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                 	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	Oxyrrhis marina                   	                  1
Peridinium                        	Peridinium                      	Peridinium                      	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                      	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	Peridinium                        	                  1
Phalacroma                        	Phalacroma                      	Phalacroma                      	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                      	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	Phalacroma                        	                  1
Polykrikos                        	Polykrikos                      	Polykrikos                      	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                      	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	Polykrikos                        	                  1
Prorocentrum cordatum             	Prorocentrum cordatum           	Prorocentrum cordatum           	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum           	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	Prorocentrum cordatum             	                  1
Prorocentrum dentatum             	Prorocentrum dentatum           	Prorocentrum dentatum           	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum           	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	Prorocentrum dentatum             	                  1
Prorocentrum micans               	Prorocentrum micans             	Prorocentrum micans             	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans             	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	Prorocentrum micans               	                  1
Prorocentrum sigmoides            	Prorocentrum sigmoides          	Prorocentrum sigmoides          	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides          	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	Prorocentrum sigmoides            	                  1
Prorocentrum triestinum           	Prorocentrum triestinum         	Prorocentrum triestinum         	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum         	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	Prorocentrum triestinum           	                  1
Protoperidinium bipes             	Protoperidinium bipes           	Protoperidinium bipes           	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes           	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	Protoperidinium bipes             	                  1
Protoperidinium globulum          	Protoperidinium globulum        	Protoperidinium globulum        	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum        	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	Protoperidinium globulum          	                  1
Protoperidium (big star shaped)   	Protoperidium (big star shaped) 	Protoperidium (big star shaped) 	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped) 	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	Protoperidium (big star shaped)   	                  1
Scrippsiella                      	Scrippsiella                    	Scrippsiella                    	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                    	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	Scrippsiella                      	                  1
others (Hetero/Gymno - shrunk)    	others                          	others (Hetero/Gymno - shrunk)  	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others                            	others                          	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	others (Hetero/Gymno - shrunk)    	                  0
Carteria                          	Carteria                        	Carteria                        	Carteria                          	Carteria                          	Carteria                          	Carteria                        	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	Carteria                          	                  1
Chlamydomonas                     	Chlamydomonas                   	Chlamydomonas                   	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                   	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	Chlamydomonas                     	                  1
Oltmannsiella                     	Oltmannsiella                   	Oltmannsiella                   	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                   	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	Oltmannsiella                     	                  1
Pyramimonas                       	Pyramimonas                     	Pyramimonas                     	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                     	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	Pyramimonas                       	                  1
Pyramimonas longicauda            	Pyramimonas longicauda          	Pyramimonas longicauda          	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda          	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	Pyramimonas longicauda            	                  1
Scenedesmus                       	Scenedesmus                     	Scenedesmus                     	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                     	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	Scenedesmus                       	                  1
Tetraselmis                       	Tetraselmis                     	Tetraselmis                     	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                     	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	Tetraselmis                       	                  1
prasinophyte                      	prasinophyte                    	prasinophyte                    	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                    	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	prasinophyte                      	                  1
passive chlorophyte (<3um)        	passive chlorophyte (<3um)      	passive chlorophyte (<3um)      	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)      	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	passive chlorophyte (<3um)        	                  1
Phacus                            	Phacus                          	Phacus                          	Phacus                            	Phacus                            	Phacus                            	Phacus                          	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	Phacus                            	                  1
Ankistrodesmus                    	Ankistrodesmus                  	Ankistrodesmus                  	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                  	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	                  1
Cosmarium                         	Cosmarium                       	Cosmarium                       	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                       	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	Cosmarium                         	                  1
Crucigenia                        	Crucigenia                      	Crucigenia                      	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                      	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	Crucigenia                        	                  1
Cryptomonas                       	Cryptomonas                     	Cryptomonas                     	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                     	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	Cryptomonas                       	                  1
Plagioselmis                      	Plagioselmis                    	Plagioselmis                    	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                    	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	Plagioselmis                      	                  1
Teleaulax                         	Teleaulax                       	Teleaulax                       	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                       	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	Teleaulax                         	                  1
Hemiselmis                        	Hemiselmis                      	Hemiselmis                      	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                      	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	Hemiselmis                        	                  1
Leucocryptos                      	Leucocryptos                    	Leucocryptos                    	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                    	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	Leucocryptos                      	                  1
small cryptophytes                	small cryptophytes              	small cryptophytes              	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes              	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	small cryptophytes                	                  1
Apedinella spinifera              	Apedinella spinifera            	Apedinella spinifera            	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera            	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	Apedinella spinifera              	                  1
Pseudopedinella                   	Pseudopedinella                 	Pseudopedinella                 	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                 	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	Pseudopedinella                   	                  1
Eutreptiella                      	Eutreptiella                    	Eutreptiella                    	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                    	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	Eutreptiella                      	                  1
Euglena                           	Euglena                         	Euglena                         	Euglena                           	Euglena                           	Euglena                           	Euglena                         	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	Euglena                           	                  1
Dictyoca                          	Dictyoca                        	Dictyoca                        	Dictyoca                          	Dictyoca                          	Dictyoca                          	Dictyoca                        	Dictyoca                          	Dictyoca                          	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	Dictyocha                         	                  0
