Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest/616178_Mean_Stage_Height_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.883961063
Long,116.094790172
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616178
Site Description,616178
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),1462.0153
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Mean Stage Height (m),Decimal
QC,String
