Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest\6160259_Total_Phosphorus_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-32.007068688
Long,115.808949832
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160259
Site Description,6160259
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),9812.7395
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Total Phosphorus (mg/L),Decimal
QC,String
