Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest\6161870_Turbidity_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.951371818
Long,115.913400409
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6161870
Site Description,6161870
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),1125.6951
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Turbidity (NTU),Decimal
QC,String
