Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest/6163485_Wind_Direction_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.922684344
Long,115.950948938
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6163485
Site Description,6163485
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),12396.5573
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wind Direction (ø),Decimal
QC,String
