Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest/6160930_Secchi_depth_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.887653828
Long,115.979641054
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160930
Site Description,6160930
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Sampling Rate (min),10435.1738
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Secchi depth (m),Decimal
QC,String
