fid,OBJECTID,SITE_ID,DEFAULT_SI,DEFAULT__1,DEFAULT__2,OTHER_SITE,AWRC_REF,AQWAB_REF,BOM_REF,TEXT_REF,WIN_SITE_I,SITE_TYPE_,SITE_TYPE,SITE_SUBTY,SITE_SUB_1,SITE_GEO_F,SITE_GEO_1,SITE_CATEG,SITE_CAT_1,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID,POSITION_A,CATCH_AREA,SITE_OWNER,OWN_DATA,DEPARTMENT,CURRENTLY_,CURRENTL_1,PUBLISH_EX,INFRA_OWNE,OWN_ASSET,COMMENCE,CEASE,INFRA_COMM,INFRA_CEAS,INFRA_STAT,STATUS_CUR,DISCRETE_S,DISCRETE_E,DISCRETE_F,DISCRETE_L,TS_START,TS_END,TS_FIRST_A,TS_LAST_AV,TS_DATA_MA,TS_DATA__1,DATA_CATEG,VARIABLE_T,PROJECTS,ROUTES,PUB_URL,SITE_DOCS_,SITE_DOC_1,WRL_DRAWPO,WRL_LICENS,TOT_CONSTR,DRILLED_DE,DATE_DRILL,AHD_DATUM,AQUIFERS,AQUIFERS_R,BORE_INLET,CONSTRUCTI,GEOPHYSICA,SUMMARY_LO,LITHOLOGY_,WATER_SUPP,WATER_LEVE,TDS_COND,CATCHMENT,CATCHMENT_,DEPARTME_1,DEPARTME_2,ESTUARY,ESTUARY_ID,GEOGRAPHIC,GEOGRAPH_1,GROUNDWATE,GROUNDWA_1,GROUNDWA_2,GROUNDWA_3,GROUNDWA_4,GROUNDWA_5,LOCAL_GOVT,LOCAL_GO_1,LOCALITY,LOCALITY_I,RAINFALL_D,RAINFALL_1,BASIN,RIVER_BASI,RIVER_BA_1,MAP_SHEET_,MAP_SHEE_1,MINING_TEN,MINING_T_1,SURFACEWAT,SURFACEW_1,SURFACEW_2,SURFACEW_3,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD,SITE_COMME,DEFAULT__3,PURPOSE_CU,PURPOSE_HI,OTHER_SI_1,DISCRETE_1,STATUS_HIS,TIMEDATE,STAGELAST,STAGEPREVI,TENDENCY
16315,"21283","6030979","6030979",Murray River Catchment 614 - Point Peron,Point Peron,"20024957 [WIN_ID]; 2033-3-NE-0013 [AQWAB]; 6030979 [SITE_REF]","6030979",2033-3-NE-0013,,,"20024957",GROUND,Groundwater,UNK,Unknown,GROUND,Ground,GROUND,Groundwater,"50",376880.999999999941792,6428650.000000000000000,-32.272132450000001,115.692708980000006,GDA94,+/-100m,,OWN_OTH,Other,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,,,,,,,,,(),None,"BOREH; PROJINF; SITEINF",,"WA-G-PRE1996AQWADATA; WA-G-UNKNOWN",,,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=6030979,His,,,,"6.1",Unknown,"GL      : 4.570 mAHD; effective date unknown",,,,No,No,No,No,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Rockingham,ROCK2BAE,Rockingham Confined,ROCK938F,CITY OF ROCKINGHAM,"3722151",PERON,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,-2208988800000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1007",SVR,"Depth is approx. Originally had good water but was over pumped at high tide, has not returned good quality since several bores in this area have been over pumped. Probably a very limited volume of good water on pt peron penin.",AWRC,,,Murray River Catchment 614 - Point Peron,,Unknown,,,,
47185,"54110","61402245","61402245",Murray River Catchment 614 - 23,"23","20019615 [WIN_ID]; 2033-1-NW-0028 [AQWAB]; 61402245 [SITE_REF]","61402245",2033-1-NW-0028,,,"20019615",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384324.000000000000000,6446141.000000000000000,-32.115165249999997,115.773841680000004,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988800000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402245/61402245.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402245,His,,,,,Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42163200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"Drawdown of 1ft when pumped at several thousand gph; no variation reported winter-summer.",AWRC,,,Murray River Catchment 614 - 23,-2208988800000.000000000000000,Unknown,,,,
47186,"54111","61402246","61402246",Murray River Catchment 614 - 24,"24","20019616 [WIN_ID]; 2033-1-NW-0029 [AQWAB]; 61402246 [SITE_REF]","61402246",2033-1-NW-0029,,,"20019616",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384322.000000000000000,6446018.000000000000000,-32.116274460000000,115.773805650000000,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988680000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402246/61402246.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402246,His,,,,,Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42163200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"Well not used; water left standing for several years; water clear; bare limestone and scrub upslope.",AWRC,,,Murray River Catchment 614 - 24,-2208988680000.000000000000000,Unknown,,,,
47187,"54112","61402247","61402247",Murray River Catchment 614 - 25,"25","20019617 [WIN_ID]; 2033-1-NW-0030 [AQWAB]; 61402247 [SITE_REF]","61402247",2033-1-NW-0030,,,"20019617",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384683.000000000058208,6446098.000000000000000,-32.115589880000002,115.777641169999995,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,PRV,Private,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988680000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402247/61402247.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402247,His,,,,,Unknown,,,,,No,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",SPEARWOOD,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42163200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,Clear water. Swl originally recorded as: 12ft reported.,AWRC,,,Murray River Catchment 614 - 25,-2208988680000.000000000000000,Unknown,,,,
47188,"54113","61402248","61402248",Murray River Catchment 614 - 26,"26","20019618 [WIN_ID]; 2033-1-NW-0031 [AQWAB]; 61402248 [SITE_REF]","61402248",2033-1-NW-0031,,,"20019618",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384688.999999999941792,6445493.000000000931323,-32.121047380000000,115.777632010000005,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,PRV,Private,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988680000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402248/61402248.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402248,His,,,,,Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42163200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - 26,-2208988680000.000000000000000,Unknown,,,,
47189,"54114","61402249","61402249",Murray River Catchment 614 - 27,"27","20019619 [WIN_ID]; 2033-1-NW-0032 [AQWAB]; 61402249 [SITE_REF]","61402249",2033-1-NW-0032,,,"20019619",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384756.000000000000000,6445471.000000000000000,-32.121252669999997,115.778339470000006,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988680000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402249/61402249.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402249,His,,,,,Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42163200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - 27,-2208988680000.000000000000000,Unknown,,,,
47191,"54116","61402250","61402250",Murray River Catchment 614 - 30,"30","20019621 [WIN_ID]; 2033-1-NW-0034 [AQWAB]; 61402250 [SITE_REF]","61402250",2033-1-NW-0034,,,"20019621",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",385251.000000000058208,6445906.000000000000000,-32.117379620000001,115.783637870000007,GDA94,+/-100m,,OWN_NON,None or unknown,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988800000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402250/61402250.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402250,His,,,,"3.35",Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42249600000.000000000000000,"0",ADMINGOB,1520553600000.000000000000000,"1006",SVR,"Sand 9ft6in, limestone 18in",AWRC,,,Murray River Catchment 614 - 30,-2208988800000.000000000000000,Unknown,,,,
47192,"54117","61402251","61402251",Murray River Catchment 614 - 31,"31","20019622 [WIN_ID]; 2033-1-NW-0035 [AQWAB]; 61402251 [SITE_REF]","61402251",2033-1-NW-0035,,,"20019622",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",385423.000000000058208,6445914.000000000000000,-32.117324959999998,115.785461720000001,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,PRV,Private,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988800000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402251/61402251.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402251,His,,,,"6.1",Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42249600000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,Shelly limestone,AWRC,,,Murray River Catchment 614 - 31,-2208988800000.000000000000000,Unknown,,,,
47193,"54118","61402252","61402252",Murray River Catchment 614 - 32,"32","20019623 [WIN_ID]; 2033-1-NW-0036 [AQWAB]; 61402252 [SITE_REF]","61402252",2033-1-NW-0036,,,"20019623",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",385998.000000000000000,6445946.000000000000000,-32.117094639999998,115.791559509999999,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,PRV,Private,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988680000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402252/61402252.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402252,His,,,,"34.75",Unknown,,,,,No,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42249600000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"25ft sand, limestone below",AWRC,,,Murray River Catchment 614 - 32,-2208988680000.000000000000000,Unknown,,,,
47194,"54119","61402253","61402253",Murray River Catchment 614 - 33,"33","20019624 [WIN_ID]; 2033-1-NW-0037 [AQWAB]; 61402253 [SITE_REF]","61402253",2033-1-NW-0037,,,"20019624",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",385950.000000000000000,6445823.000000000000000,-32.118199210000000,115.791036169999998,GDA94,+/-100m,,OWN_PRV,Private,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,-2208988800000.000000000000000,-2208988800000.000000000000000,01/01/1900,01/01/1900,,,,,(),None,"BOREH; DISCWL; DISCWQ; PROJINF; SITEINF","Physical; Water level (discrete)",WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61402253/61402253.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61402253,His,,,,,Unknown,,,,,Yes,No,No,No,,,,Bartram Road Catchment,"6",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Cockburn Confined,COCK728F,CITY OF COCKBURN,"4245468",LAKE COOGEE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,42249600000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,425ft sand on top. Swl orig recorded as: 90ft reported.,AWRC,,,Murray River Catchment 614 - 33,-2208988800000.000000000000000,Unknown,,,,
